S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
1 li1 77 55 71.4286 150.00000 1.94805 98.2143 0.9375 92.3077 0.9375 92.3077
1 sh1 22 1 4.5455 67.00000 3.04545 1.7857 0.0000 0.0000 0.8906 87.6923
1 SUM/AVG 100 56 56.0000 217.00000 2.17000 33.3333 0.9375 92.3077 1.8281 180.0000
2 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
2 li1 78 57 73.0769 119.00000 1.52564 98.2759 0.9688 89.8551 0.9688 89.8551
2 sh1 21 1 4.7619 60.00000 2.85714 1.7241 0.0000 0.0000 0.9688 89.8551
2 SUM/AVG 100 58 58.0000 179.00000 1.79000 33.3333 0.9688 89.8551 1.9375 179.7101
3 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
3 li1 79 59 74.6835 120.00000 1.51899 95.1613 0.9219 90.7692 0.9219 90.7692
3 sh1 20 3 15.0000 61.00000 3.05000 4.8387 0.0000 0.0000 0.8750 86.1538
3 SUM/AVG 100 62 62.0000 181.00000 1.81000 33.3333 0.9219 90.7692 1.7969 176.9231
4 ch0 1 1 100.0000 10.00000 10.00000 1.7857 0.0000 0.0000 0.0000 0.0000
4 li1 76 53 69.7368 154.00000 2.02632 94.6429 1.0156 90.2778 1.0156 90.2778
4 sh1 23 2 8.6957 54.00000 2.34783 3.5714 0.0000 0.0000 1.0312 91.6667
4 SUM/AVG 100 56 56.0000 218.00000 2.18000 33.3333 1.0156 90.2778 2.0469 181.9444
5 ch0 1 1 100.0000 1.00000 1.00000 1.6129 0.0000 0.0000 0.0000 0.0000
5 li1 79 59 74.6835 119.00000 1.50633 95.1613 0.8438 94.7368 0.8438 94.7368
5 sh1 20 2 10.0000 57.00000 2.85000 3.2258 0.0000 0.0000 0.7656 85.9649
5 SUM/AVG 100 62 62.0000 177.00000 1.77000 33.3333 0.8438 94.7368 1.6094 180.7018
S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
1 li1 77 55 71.4286 150.00000 1.94805 98.2143 0.9375 92.3077 0.9375 92.3077
1 sh1 22 1 4.5455 67.00000 3.04545 1.7857 0.0000 0.0000 0.8906 87.6923
1 SUM/AVG 100 56 56.0000 217.00000 2.17000 33.3333 0.9375 92.3077 1.8281 180.0000
2 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
2 li1 78 57 73.0769 119.00000 1.52564 98.2759 0.9688 89.8551 0.9688 89.8551
2 sh1 21 1 4.7619 60.00000 2.85714 1.7241 0.0000 0.0000 0.9688 89.8551
2 SUM/AVG 100 58 58.0000 179.00000 1.79000 33.3333 0.9688 89.8551 1.9375 179.7101
3 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
