R runs=4
D inst=maxsat-adv1.cnf
D seed=3
D iterations=100
D CH('random', 0)
D LI('k-flip neighborhood search', 1)
D SH('k random flip', 1)
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 696.0 697.0 698.0 700.0 701.0 704.0 707.0 709.0 710.0 712.0 714.0 715.0 716.0 719.0 720.0 721.0 724.0 725.0 726.0 727.0 728.0 729.0 730.0 732.0 733.0 734.0 735.0 738.0 740.0 741.0 742.0 747.0 750.0 751.0 752.0 753.0 755.0 757.0 757.0 755.0 757.0 757.0 752.0 753.0 754.0 757.0 757.0 756.0 757.0 757.0 754.0 757.0 757.0 755.0 757.0 757.0 752.0 757.0 757.0 752.0 757.0 757.0 753.0 757.0 757.0 751.0 752.0 756.0 758.0 758.0 756.0 757.0 758.0 758.0 756.0 757.0 758.0 759.0 759.0 755.0 759.0 759.0 756.0 759.0 759.0 752.0 759.0 759.0 754.0 759.0 759.0 755.0 759.0 759.0 758.0 759.0 759.0 756.0 759.0 759.0
2 701.0 703.0 707.0 708.0 709.0 710.0 711.0 712.0 714.0 715.0 717.0 718.0 721.0 723.0 725.0 726.0 729.0 731.0 733.0 735.0 736.0 737.0 738.0 739.0 741.0 742.0 744.0 745.0 746.0 750.0 753.0 754.0 756.0 756.0 752.0 756.0 756.0 755.0 756.0 756.0 752.0 753.0 755.0 756.0 757.0 759.0 759.0 756.0 759.0 759.0 754.0 759.0 759.0 759.0 759.0 757.0 759.0 759.0 755.0 759.0 759.0 759.0 759.0 757.0 759.0 759.0 756.0 757.0 758.0 759.0 759.0 753.0 759.0 759.0 758.0 759.0 759.0 758.0 759.0 759.0 751.0 752.0 759.0 759.0 756.0 759.0 759.0 754.0 755.0 759.0 759.0 755.0 756.0 759.0 759.0 757.0 759.0 759.0 755.0 759.0
3 698.0 700.0 701.0 705.0 707.0 711.0 712.0 714.0 718.0 720.0 725.0 726.0 729.0 730.0 732.0 734.0 735.0 737.0 739.0 740.0 742.0 744.0 745.0 749.0 751.0 753.0 754.0 755.0 758.0 758.0 753.0 754.0 755.0 758.0 758.0 757.0 759.0 761.0 761.0 760.0 761.0 762.0 762.0 759.0 762.0 762.0 756.0 762.0 762.0 758.0 760.0 762.0 762.0 762.0 763.0 763.0 756.0 757.0 758.0 759.0 760.0 762.0 763.0 764.0 764.0 763.0 764.0 764.0 755.0 757.0 759.0 765.0 765.0 762.0 763.0 765.0 765.0 763.0 765.0 765.0 762.0 765.0 765.0 765.0 765.0 763.0 765.0 765.0 762.0 763.0 765.0 765.0 763.0 765.0 765.0 764.0 765.0 765.0 760.0 765.0
4 684.0 688.0 690.0 692.0 696.0 702.0 703.0 705.0 710.0 715.0 716.0 717.0 721.0 723.0 726.0 731.0 733.0 735.0 737.0 739.0 740.0 742.0 744.0 745.0 746.0 748.0 753.0 754.0 755.0 756.0 758.0 759.0 760.0 760.0 752.0 753.0 754.0 759.0 760.0 760.0 755.0 760.0 760.0 753.0 760.0 760.0 755.0 760.0 760.0 756.0 757.0 759.0 760.0 760.0 757.0 760.0 760.0 756.0 757.0 760.0 760.0 757.0 760.0 760.0 754.0 755.0 760.0 760.0 758.0 760.0 760.0 759.0 760.0 760.0 753.0 754.0 760.0 760.0 754.0 755.0 760.0 760.0 758.0 759.0 761.0 762.0 762.0 755.0 756.0 762.0 762.0 756.0 757.0 758.0 762.0 762.0 761.0 762.0 762.0 761.0
S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
1 li1 81 62 76.5432 127.00000 1.56790 95.3846 0.7969 91.0714 0.7969 91.0714
1 sh1 18 3 16.6667 63.00000 3.50000 4.6154 0.0000 0.0000 0.7188 82.1429
1 SUM/AVG 100 65 65.0000 190.00000 1.90000 33.3333 0.7969 91.0714 1.5156 173.2143
2 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
2 li1 79 59 74.6835 120.00000 1.51899 96.7213 0.8906 95.0000 0.8906 95.0000
2 sh1 20 2 10.0000 58.00000 2.90000 3.2787 0.0000 0.0000 0.8125 86.6667
2 SUM/AVG 100 61 61.0000 178.00000 1.78000 33.3333 0.8906 95.0000 1.7031 181.6667
3 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
3 li1 80 61 76.2500 125.00000 1.56250 91.0448 0.8594 91.6667 0.8594 91.6667
3 sh1 19 6 31.5789 67.00000 3.52632 8.9552 0.0000 0.0000 0.8125 86.6667
3 SUM/AVG 100 67 67.0000 192.00000 1.92000 33.3333 0.8594 91.6667 1.6719 178.3333
4 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
4 li1 81 63 77.7778 155.00000 1.91358 96.9231 0.9062 93.5484 0.9062 93.5484
4 sh1 18 2 11.1111 78.00000 4.33333 3.0769 0.0000 0.0000 0.8438 87.0968
4 SUM/AVG 100 65 65.0000 233.00000 2.33000 33.3333 0.9062 93.5484 1.7500 180.6452
