R runs=5
D inst=maxsat-adv1.cnf
D seed=2
D iterations=100
D CH('random', 0)
D LI('k-flip neighborhood search', 1)
D SH('k random flip', 1)
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 710.0 711.0 717.0 719.0 720.0 724.0 725.0 729.0 730.0 734.0 735.0 740.0 741.0 742.0 746.0 749.0 752.0 753.0 755.0 756.0 757.0 759.0 760.0 761.0 762.0 764.0 765.0 765.0 764.0 765.0 765.0 760.0 765.0 765.0 761.0 765.0 765.0 762.0 765.0 765.0 759.0 760.0 765.0 765.0 764.0 766.0 767.0 767.0 762.0 767.0 767.0 765.0 767.0 767.0 763.0 767.0 767.0 762.0 767.0 767.0 764.0 767.0 767.0 761.0 762.0 767.0 767.0 762.0 767.0 767.0 764.0 767.0 767.0 765.0 767.0 767.0 764.0 766.0 767.0 767.0 765.0 767.0 767.0 763.0 764.0 766.0 767.0 767.0 764.0 765.0 767.0 767.0 764.0 767.0 767.0 762.0 763.0 767.0 767.0 764.0
2 710.0 711.0 713.0 714.0 718.0 723.0 725.0 726.0 727.0 732.0 735.0 740.0 742.0 743.0 746.0 747.0 748.0 750.0 751.0 752.0 754.0 755.0 756.0 756.0 754.0 755.0 755.0 754.0 755.0 756.0 756.0 752.0 756.0 756.0 752.0 756.0 756.0 753.0 756.0 756.0 753.0 754.0 756.0 756.0 754.0 756.0 756.0 752.0 753.0 754.0 756.0 756.0 753.0 754.0 756.0 756.0 753.0 756.0 756.0 753.0 756.0 756.0 754.0 755.0 756.0 756.0 753.0 756.0 756.0 749.0 756.0 756.0 756.0 756.0 755.0 756.0 756.0 755.0 756.0 756.0 751.0 756.0 756.0 753.0 756.0 756.0 753.0 756.0 756.0 753.0 756.0 756.0 753.0 756.0 756.0 752.0 756.0 756.0 753.0 756.0
3 699.0 701.0 703.0 704.0 705.0 707.0 709.0 712.0 713.0 715.0 716.0 717.0 718.0 723.0 725.0 726.0 729.0 731.0 732.0 735.0 736.0 738.0 742.0 743.0 747.0 748.0 749.0 750.0 751.0 754.0 755.0 756.0 760.0 761.0 762.0 762.0 760.0 762.0 762.0 761.0 762.0 763.0 763.0 763.0 764.0 764.0 761.0 764.0 764.0 761.0 762.0 763.0 765.0 765.0 758.0 759.0 763.0 765.0 765.0 762.0 765.0 765.0 763.0 764.0 765.0 765.0 761.0 762.0 764.0 766.0 766.0 764.0 766.0 766.0 759.0 766.0 766.0 761.0 766.0 766.0 764.0 766.0 766.0 764.0 766.0 766.0 762.0 766.0 766.0 763.0 766.0 766.0 761.0 766.0 766.0 762.0 766.0 766.0 761.0 766.0
4 702.0 708.0 711.0 713.0 714.0 719.0 720.0 724.0 727.0 728.0 732.0 733.0 734.0 736.0 739.0 740.0 741.0 742.0 744.0 745.0 746.0 748.0 750.0 752.0 754.0 758.0 760.0 760.0 759.0 760.0 760.0 755.0 756.0 760.0 760.0 755.0 760.0 760.0 757.0 760.0 760.0 755.0 760.0 760.0 756.0 760.0 760.0 754.0 760.0 760.0 758.0 760.0 760.0 756.0 760.0 760.0 754.0 755.0 760.0 760.0 755.0 760.0 760.0 756.0 757.0 759.0 760.0 760.0 756.0 757.0 760.0 760.0 755.0 760.0 760.0 757.0 760.0 760.0 754.0 760.0 760.0 758.0 760.0 760.0 757.0 758.0 760.0 760.0 758.0 760.0 760.0 756.0 757.0 758.0 759.0 760.0 760.0 759.0 760.0 760.0
5 686.0 691.0 695.0 698.0 702.0 707.0 710.0 711.0 712.0 713.0 717.0 722.0 724.0 725.0 726.0 727.0 728.0 730.0 731.0 732.0 738.0 741.0 744.0 746.0 747.0 750.0 753.0 754.0 757.0 758.0 758.0 755.0 758.0 758.0 755.0 758.0 758.0 756.0 758.0 758.0 758.0 758.0 756.0 758.0 758.0 753.0 754.0 755.0 758.0 761.0 761.0 758.0 761.0 761.0 757.0 758.0 761.0 761.0 756.0 761.0 761.0 758.0 761.0 761.0 757.0 761.0 761.0 759.0 760.0 761.0 762.0 763.0 763.0 758.0 763.0 763.0 762.0 763.0 763.0 761.0 763.0 763.0 760.0 763.0 763.0 761.0 763.0 763.0 758.0 763.0 763.0 760.0 763.0 763.0 758.0 759.0 762.0 763.0 763.0 761.0
S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 1 100.0000 7.00000 7.00000 1.7241 0.0000 0.0000 0.0000 0.0000
1 li1 77 55 71.4286 132.00000 1.71429 94.8276 1.3281 92.3913 1.3281 92.3913
1 sh1 22 2 9.0909 57.00000 2.59091 3.4483 0.0000 0.0000 1.2188 84.7826
1 SUM/AVG 100 58 58.0000 196.00000 1.96000 33.3333 1.3281 92.3913 2.5469 177.1739
2 ch0 1 1 100.0000 7.00000 7.00000 1.8519 0.0000 0.0000 0.0000 0.0000
2 li1 75 51 68.0000 116.00000 1.54667 94.4444 1.2344 90.8046 1.2344 90.8046
2 sh1 24 2 8.3333 46.00000 1.91667 3.7037 0.0000 0.0000 1.1719 86.2069
2 SUM/AVG 100 54 54.0000 169.00000 1.69000 33.3333 1.2344 90.8046 2.4062 177.0115
3 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
3 li1 80 61 76.2500 131.00000 1.63750 92.4242 0.9844 90.0000 0.9844 90.0000
3 sh1 19 5 26.3158 67.00000 3.52632 7.5758 0.0000 0.0000 0.9062 82.8571
3 SUM/AVG 100 66 66.0000 198.00000 1.98000 33.3333 0.9844 90.0000 1.8906 172.8571
4 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
4 li1 78 56 71.7949 138.00000 1.76923 98.2456 1.0312 85.7143 1.0312 85.7143
4 sh1 21 1 4.7619 58.00000 2.76190 1.7544 0.0000 0.0000 1.0938 90.9091
4 SUM/AVG 100 57 57.0000 196.00000 1.96000 33.3333 1.0312 85.7143 2.1250 176.6234
5 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
5 li1 78 57 73.0769 139.00000 1.78205 95.0000 1.0000 86.4865 1.0000 86.4865
5 sh1 21 3 14.2857 77.00000 3.66667 5.0000 0.0000 0.0000 1.0625 91.8919
5 SUM/AVG 100 60 60.0000 216.00000 2.16000 33.3333 1.0000 86.4865 2.0625 178.3784
