R runs=6
D inst=maxsat-adv1.cnf
D seed=2
D iterations=100
D CH('random', 0)
D LI('k-flip neighborhood search', 1)
D SH('k random flip', 3)
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 709.0 711.0 715.0 717.0 720.0 721.0 722.0 724.0 729.0 737.0 738.0 742.0 743.0 747.0 754.0 756.0 758.0 760.0 761.0 762.0 763.0 765.0 765.0 755.0 759.0 760.0 764.0 765.0 765.0 756.0 757.0 761.0 762.0 764.0 765.0 766.0 766.0 754.0 755.0 756.0 759.0 761.0 766.0 766.0 760.0 762.0 764.0 765.0 766.0 766.0 755.0 757.0 762.0 766.0 766.0 757.0 759.0 763.0 764.0 765.0 766.0 766.0 755.0 756.0 761.0 763.0 764.0 764.0 756.0 760.0 762.0 766.0 766.0 754.0 756.0 758.0 761.0 766.0 766.0 762.0 763.0 765.0 766.0 766.0 758.0 759.0 760.0 761.0 765.0 766.0 766.0 760.0 761.0 762.0 766.0 766.0 760.0 761.0 766.0 766.0
2 693.0 695.0 696.0 698.0 701.0 703.0 707.0 709.0 711.0 715.0 718.0 720.0 721.0 723.0 724.0 727.0 731.0 733.0 734.0 736.0 737.0 739.0 740.0 744.0 746.0 747.0 748.0 750.0 751.0 752.0 753.0 754.0 755.0 758.0 759.0 761.0 761.0 748.0 749.0 751.0 752.0 754.0 755.0 757.0 760.0 761.0 762.0 762.0 752.0 753.0 760.0 762.0 762.0 754.0 757.0 760.0 762.0 762.0 748.0 749.0 750.0 751.0 753.0 755.0 759.0 760.0 761.0 762.0 763.0 763.0 759.0 761.0 762.0 763.0 763.0 751.0 753.0 755.0 760.0 762.0 763.0 763.0 751.0 752.0 753.0 758.0 762.0 763.0 763.0 757.0 758.0 760.0 761.0 761.0 755.0 756.0 758.0 761.0 762.0 763.0
3 704.0 706.0 709.0 711.0 714.0 716.0 717.0 719.0 722.0 723.0 725.0 728.0 729.0 731.0 733.0 734.0 735.0 736.0 741.0 742.0 743.0 745.0 746.0 748.0 749.0 750.0 751.0 752.0 753.0 754.0 755.0 757.0 759.0 759.0 751.0 752.0 753.0 754.0 755.0 756.0 757.0 758.0 761.0 761.0 755.0 757.0 758.0 759.0 760.0 761.0 761.0 754.0 756.0 758.0 759.0 761.0 762.0 763.0 763.0 752.0 754.0 755.0 760.0 762.0 763.0 763.0 758.0 759.0 761.0 763.0 763.0 758.0 759.0 761.0 763.0 763.0 751.0 754.0 755.0 756.0 758.0 759.0 760.0 762.0 763.0 764.0 764.0 758.0 759.0 761.0 762.0 763.0 764.0 764.0 759.0 760.0 761.0 763.0 763.0 749.0
4 707.0 711.0 716.0 718.0 724.0 725.0 727.0 728.0 732.0 737.0 742.0 743.0 745.0 747.0 749.0 750.0 751.0 753.0 755.0 756.0 759.0 759.0 748.0 749.0 753.0 754.0 757.0 759.0 760.0 760.0 749.0 750.0 751.0 752.0 760.0 760.0 755.0 756.0 757.0 758.0 759.0 762.0 763.0 763.0 752.0 753.0 755.0 757.0 758.0 763.0 763.0 753.0 755.0 756.0 757.0 758.0 763.0 763.0 747.0 749.0 751.0 758.0 762.0 763.0 763.0 755.0 756.0 761.0 762.0 762.0 750.0 757.0 758.0 759.0 761.0 764.0 764.0 757.0 762.0 764.0 764.0 750.0 757.0 761.0 764.0 764.0 754.0 758.0 759.0 760.0 762.0 763.0 763.0 751.0 752.0 756.0 760.0 761.0 764.0 764.0
5 698.0 702.0 705.0 706.0 707.0 713.0 714.0 716.0 719.0 721.0 724.0 726.0 727.0 732.0 735.0 741.0 744.0 745.0 746.0 747.0 749.0 752.0 755.0 755.0 747.0 748.0 751.0 754.0 755.0 756.0 756.0 746.0 748.0 750.0 756.0 756.0 750.0 753.0 754.0 755.0 756.0 757.0 757.0 750.0 751.0 753.0 755.0 757.0 757.0 747.0 751.0 752.0 755.0 756.0 757.0 757.0 752.0 755.0 755.0 747.0 749.0 754.0 757.0 757.0 748.0 751.0 753.0 757.0 757.0 749.0 752.0 754.0 756.0 757.0 757.0 739.0 741.0 742.0 743.0 749.0 750.0 751.0 752.0 756.0 757.0 757.0 746.0 749.0 750.0 751.0 752.0 753.0 755.0 756.0 756.0 750.0 751.0 753.0 755.0 757.0
6 700.0 704.0 705.0 710.0 714.0 718.0 722.0 724.0 727.0 728.0 729.0 730.0 731.0 732.0 733.0 737.0 739.0 740.0 741.0 744.0 747.0 750.0 751.0 753.0 754.0 755.0 756.0 757.0 758.0 759.0 760.0 760.0 752.0 753.0 758.0 759.0 760.0 761.0 761.0 749.0 751.0 752.0 756.0 760.0 761.0 761.0 754.0 760.0 761.0 761.0 747.0 748.0 750.0 753.0 754.0 759.0 760.0 761.0 762.0 762.0 756.0 758.0 759.0 760.0 761.0 762.0 762.0 746.0 749.0 751.0 753.0 758.0 759.0 760.0 760.0 752.0 754.0 755.0 757.0 761.0 762.0 762.0 755.0 756.0 757.0 759.0 760.0 762.0 762.0 754.0 756.0 760.0 762.0 762.0 751.0 752.0 753.0 756.0 758.0 759.0
S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 1 100.0000 6.00000 6.00000 1.3333 0.0000 0.0000 0.0000 0.0000
1 li1 86 72 83.7209 169.00000 1.96512 96.0000 0.8594 94.8276 0.8594 94.8276
1 sh3 13 2 15.3846 57.00000 4.38462 2.6667 0.0000 0.0000 0.7969 87.9310
1 SUM/AVG 100 75 75.0000 232.00000 2.32000 33.3333 0.8594 94.8276 1.6562 182.7586
2 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
2 li1 90 81 90.0000 155.00000 1.72222 97.5904 0.7344 92.1569 0.7344 92.1569
2 sh3 9 2 22.2222 70.00000 7.77778 2.4096 0.0000 0.0000 0.6719 84.3137
2 SUM/AVG 100 83 83.0000 225.00000 2.25000 33.3333 0.7344 92.1569 1.4062 176.4706
3 ch0 1 1 100.0000 1.00000 1.00000 1.2048 0.0000 0.0000 0.0000 0.0000
3 li1 89 79 88.7640 124.00000 1.39326 95.1807 0.8438 98.1818 0.8438 98.1818
3 sh3 10 3 30.0000 60.00000 6.00000 3.6145 0.0000 0.0000 0.7344 85.4545
3 SUM/AVG 100 83 83.0000 185.00000 1.85000 33.3333 0.8438 98.1818 1.5781 183.6364
4 ch0 1 1 100.0000 4.00000 4.00000 1.2821 0.0000 0.0000 0.0000 0.0000
4 li1 87 74 85.0575 184.00000 2.11494 94.8718 0.8438 96.4286 0.8438 96.4286
4 sh3 12 3 25.0000 57.00000 4.75000 3.8462 0.0000 0.0000 0.7812 89.2857
4 SUM/AVG 100 78 78.0000 245.00000 2.45000 33.3333 0.8438 96.4286 1.6250 185.7143
5 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
5 li1 87 75 86.2069 165.00000 1.89655 97.4026 0.6406 91.1111 0.6406 91.1111
5 sh3 12 2 16.6667 59.00000 4.91667 2.5974 0.0000 0.0000 0.6250 88.8889
5 SUM/AVG 100 77 77.0000 224.00000 2.24000 33.3333 0.6406 91.1111 1.2656 180.0000
6 ch0 1 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.0000 0.0000
6 li1 89 79 88.7640 156.00000 1.75281 97.5309 0.8750 98.2456 0.8750 98.2456
6 sh3 10 2 20.0000 62.00000 6.20000 2.4691 0.0000 0.0000 0.6875 77.1930
6 SUM/AVG 100 81 81.0000 218.00000 2.18000 33.3333 0.8750 98.2456 1.5625 175.4386
