R runs=6
D inst=frb40-19-1.mis
D seed=0
D iterations=100
D CH('random', 0)
D LI('two-exchange random fill neighborhood search', 2)
D SH('remove k and random fill', 5)
D SH('remove k and random fill', 8)
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 26.0 27.0 28.0 29.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 32.0 32.0 31.0 32.0 33.0 33.0 33.0 34.0 34.0 32.0 33.0 34.0 34.0 34.0 34.0 33.0 34.0 34.0 32.0 33.0 33.0 34.0 34.0 31.0 32.0 33.0 33.0 34.0 34.0 33.0 34.0 34.0 31.0 32.0 35.0 35.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 33.0 34.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 34.0 34.0 35.0 35.0 33.0 34.0 35.0 35.0 35.0 35.0 35.0 35.0 34.0 35.0 35.0 32.0 33.0 34.0 34.0 35.0 35.0 32.0 33.0 34.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 35.0 32.0 33.0 34.0
2 22.0 24.0 25.0 26.0 27.0 28.0 30.0 31.0 32.0 32.0 28.0 29.0 30.0 30.0 28.0 30.0 31.0 31.0 30.0 31.0 31.0 29.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 32.0 33.0 33.0 31.0 32.0 33.0 33.0 32.0 33.0 33.0 32.0 32.0 30.0 32.0 33.0 33.0 33.0 33.0 30.0 31.0 31.0 33.0 33.0 32.0 33.0 34.0 34.0 33.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 34.0 33.0 34.0 34.0 34.0 34.0 33.0 33.0 33.0 34.0 34.0 33.0 34.0 34.0 33.0 34.0 34.0 34.0 34.0 34.0 34.0 31.0 32.0 33.0 34.0 34.0 32.0 33.0 33.0 32.0 33.0 33.0 33.0 34.0
3 22.0 26.0 27.0 28.0 29.0 30.0 31.0 31.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 32.0 33.0 33.0 33.0 33.0 31.0 32.0 33.0 33.0 29.0 30.0 31.0 32.0 32.0 32.0 33.0 33.0 32.0 33.0 33.0 32.0 33.0 34.0 34.0 34.0 34.0 30.0 31.0 32.0 33.0 34.0 34.0 34.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 32.0 33.0 34.0 34.0 35.0 35.0 31.0 32.0 33.0 34.0 34.0 35.0 35.0 33.0 35.0 35.0 34.0 35.0 35.0 30.0 31.0 32.0 33.0
4 25.0 26.0 27.0 28.0 29.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 29.0 30.0 31.0 31.0 31.0 32.0 32.0 29.0 30.0 31.0 32.0 32.0 32.0 32.0 30.0 31.0 32.0 32.0 32.0 32.0 30.0 31.0 32.0 32.0 30.0 31.0 32.0 32.0 29.0 31.0 32.0 32.0 32.0 32.0 30.0 32.0 32.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 29.0 30.0 31.0 32.0 32.0 31.0 31.0 32.0 32.0 30.0 31.0 31.0 32.0 32.0 31.0 32.0 32.0 29.0 30.0 32.0 32.0 32.0 32.0 30.0 31.0 32.0 32.0 29.0 30.0 31.0 32.0 32.0 29.0 30.0 32.0 32.0 32.0 32.0 29.0 30.0
5 22.0 24.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 31.0 30.0 31.0 31.0 31.0 31.0 29.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 31.0 33.0 34.0 35.0 35.0 35.0 35.0 34.0 35.0 35.0 35.0 35.0 35.0 35.0 33.0 34.0 35.0 35.0 34.0 34.0 34.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 34.0 35.0 35.0 33.0 34.0 35.0 35.0 35.0 35.0 33.0 34.0 35.0 35.0 35.0 35.0 33.0 34.0 35.0 35.0 35.0 35.0 35.0 35.0 34.0 35.0 35.0 31.0 32.0 33.0 34.0 35.0 35.0 34.0 35.0 35.0 35.0 35.0 35.0 35.0
6 24.0 25.0 26.0 27.0 28.0 29.0 29.0 29.0 29.0 27.0 28.0 29.0 29.0 26.0 27.0 28.0 29.0 30.0 30.0 30.0 30.0 28.0 29.0 30.0 31.0 31.0 30.0 30.0 30.0 31.0 31.0 31.0 31.0 27.0 28.0 29.0 30.0 31.0 32.0 32.0 32.0 32.0 29.0 31.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 30.0 32.0 32.0 29.0 30.0 31.0 32.0 32.0 31.0 32.0 33.0 33.0 32.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 30.0 31.0 32.0 32.0 33.0 33.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 30.0 31.0 32.0 32.0 31.0 32.0 33.0 33.0 31.0 32.0 33.0 33.0 33.0
S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 1 100.0000 26.00000 26.00000 2.6316 0.0000 0.0000 0.0000 0.0000
1 li2 66 33 50.0000 35.00000 0.53030 86.8421 2.5469 95.8824 2.5469 95.8824
1 sh5 18 3 16.6667 8.00000 0.44444 7.8947 0.0000 0.0000 1.3438 50.5882
1 sh8 15 1 6.6667 1.00000 0.06667 2.6316 0.0469 1.7647 1.2031 45.2941
1 SUM/AVG 100 38 38.0000 70.00000 0.70000 25.0000 2.5938 97.6471 5.0938 191.7647
2 ch0 1 1 100.0000 22.00000 22.00000 2.3810 0.0156 0.5814 0.0156 0.5814
2 li2 68 37 54.4118 41.00000 0.60294 88.0952 2.6406 98.2558 2.6406 98.2558
2 sh5 17 2 11.7647 9.00000 0.52941 4.7619 0.0156 0.5814 1.3281 49.4186
2 sh8 14 2 14.2857 3.00000 0.21429 4.7619 0.0156 0.5814 1.1875 44.1860
2 SUM/AVG 100 42 42.0000 75.00000 0.75000 25.0000 2.6875 100.0000 5.1719 192.4419
3 ch0 1 1 100.0000 22.00000 22.00000 2.0833 0.0000 0.0000 0.0000 0.0000
3 li2 71 43 60.5634 47.00000 0.66197 89.5833 2.5469 100.0000 2.5469 100.0000
3 sh5 15 2 13.3333 11.00000 0.73333 4.1667 0.0000 0.0000 1.2500 49.0798
3 sh8 13 2 15.3846 2.00000 0.15385 4.1667 0.0000 0.0000 1.1719 46.0123
3 SUM/AVG 100 48 48.0000 82.00000 0.82000 25.0000 2.5469 100.0000 4.9688 195.0920
4 ch0 1 1 100.0000 25.00000 25.00000 2.3256 0.0000 0.0000 0.0000 0.0000
4 li2 70 41 58.5714 45.00000 0.64286 95.3488 2.0938 97.8102 2.0938 97.8102
4 sh5 15 1 6.6667 7.00000 0.46667 2.3256 0.0000 0.0000 1.0469 48.9051
4 sh8 14 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 0.9688 45.2555
4 SUM/AVG 100 43 43.0000 77.00000 0.77000 25.0000 2.0938 97.8102 4.1094 191.9708
5 ch0 1 1 100.0000 22.00000 22.00000 2.3810 0.0000 0.0000 0.0000 0.0000
5 li2 69 38 55.0725 40.00000 0.57971 90.4762 2.4531 98.1250 2.4531 98.1250
5 sh5 16 1 6.2500 9.00000 0.56250 2.3810 0.0156 0.6250 1.2188 48.7500
5 sh8 14 2 14.2857 4.00000 0.28571 4.7619 0.0156 0.6250 1.1250 45.0000
5 SUM/AVG 100 42 42.0000 75.00000 0.75000 25.0000 2.4844 99.3750 4.7969 191.8750
6 ch0 1 1 100.0 24.0 24.0 1.9608 0.0 0.0 0.0 0.0
6 li2 72 45 62.5 47.0 0.65278 88.2353 2.3125 98.6667 2.3125 98.6667
6 sh5 15 2 13.3333 6.0 0.4 3.9216 0.0 0.0 1.1094 47.3333
6 sh8 12 3 25.0 3.0 0.25 5.8824 0.0 0.0 1.1094 47.3333
6 SUM/AVG 100 51 51.0 80.0 0.8 25.0 2.3125 98.6667 4.5312 193.3333
