R runs=5
D inst=frb40-19-1.mis
D seed=0
D iterations=100
D CH('random', 0)
D LI('two-exchange random fill neighborhood search', 2)
D SH('remove k and random fill', 5)
D SH('remove k and random fill', 9)
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 22.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 33.0 33.0 31.0 32.0 33.0 33.0 28.0 29.0 30.0 31.0 32.0 32.0 32.0 33.0 33.0 32.0 32.0 33.0 33.0 33.0 33.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 31.0 32.0 33.0 33.0 33.0 33.0 32.0 33.0 33.0 32.0 33.0 33.0 30.0 31.0 32.0 32.0 32.0 33.0 33.0 30.0 31.0 32.0 33.0 34.0 34.0 34.0 34.0 32.0 33.0 34.0 34.0 34.0 34.0 29.0 32.0 33.0 34.0 34.0 34.0 34.0 33.0 34.0 34.0 34.0 34.0 30.0 33.0 33.0
2 26.0 28.0 29.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 31.0 32.0 33.0 33.0 33.0 33.0 32.0 33.0 33.0 32.0 33.0 33.0 29.0 30.0 31.0 32.0 33.0 33.0 32.0 33.0 33.0 31.0 32.0 33.0 33.0 32.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 30.0 32.0 33.0 33.0 31.0 33.0 33.0 32.0 33.0 33.0 32.0 33.0 33.0 32.0 33.0 33.0 29.0 30.0 31.0 33.0 33.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 29.0 31.0 32.0 33.0 33.0 33.0 33.0 31.0 32.0 32.0 33.0 33.0 30.0 31.0 32.0 33.0 33.0 32.0
3 21.0 25.0 26.0 27.0 28.0 29.0 30.0 31.0 31.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 30.0 31.0 31.0 32.0 33.0 34.0 34.0 33.0 34.0 34.0 32.0 34.0 34.0 34.0 34.0 31.0 32.0 33.0 33.0 32.0 33.0 34.0 34.0 29.0 30.0 31.0 32.0 33.0 33.0 33.0 34.0 34.0 31.0 32.0 33.0 34.0 34.0 34.0 34.0 32.0 33.0 34.0 34.0 33.0 34.0 34.0 30.0 31.0 32.0 33.0 34.0 34.0 34.0 34.0 31.0 32.0 33.0 33.0 33.0 34.0 34.0 33.0 34.0 34.0 33.0 34.0 34.0 31.0 33.0 34.0 34.0 33.0 34.0 34.0 31.0 32.0 33.0 33.0 33.0 34.0 34.0 30.0 32.0 33.0
4 24.0 25.0 26.0 28.0 29.0 30.0 31.0 32.0 33.0 33.0 33.0 33.0 33.0 33.0 29.0 30.0 32.0 33.0 33.0 33.0 33.0 28.0 29.0 30.0 31.0 32.0 33.0 34.0 34.0 32.0 33.0 34.0 34.0 31.0 33.0 34.0 34.0 34.0 34.0 29.0 31.0 32.0 33.0 33.0 33.0 34.0 34.0 34.0 34.0 32.0 33.0 33.0 33.0 33.0 32.0 33.0 34.0 34.0 32.0 33.0 34.0 34.0 33.0 34.0 34.0 33.0 34.0 34.0 34.0 34.0 33.0 34.0 34.0 34.0 34.0 30.0 31.0 32.0 33.0 34.0 34.0 32.0 33.0 33.0 32.0 33.0 33.0 34.0 34.0 33.0 34.0 34.0 32.0 33.0 34.0 34.0 31.0 32.0 33.0 34.0
5 24.0 26.0 27.0 28.0 29.0 30.0 30.0 30.0 31.0 31.0 30.0 31.0 31.0 29.0 31.0 31.0 30.0 31.0 31.0 30.0 31.0 32.0 32.0 32.0 32.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 30.0 31.0 32.0 32.0 32.0 32.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 29.0 31.0 32.0 32.0 31.0 32.0 32.0 32.0 32.0 31.0 32.0 32.0 29.0 30.0 31.0 32.0 32.0 32.0 32.0 30.0 31.0 32.0 32.0 31.0 32.0 32.0 30.0 31.0 32.0 32.0 32.0 32.0 31.0 32.0 32.0 31.0 32.0 32.0 30.0 32.0 32.0 32.0 32.0 31.0 32.0 32.0 32.0 32.0 29.0
S summary
run method iter succ succ-rate% tot-obj-gain avg-obj-gain rel-succ% net-time net-time% brut-time brut-time%
1 ch0 1 1 100.0000 22.00000 22.00000 2.3256 0.0000 0.0000 0.0000 0.0000
1 li2 70 40 57.1429 46.00000 0.65714 93.0233 2.5000 97.5610 2.5000 97.5610
1 sh5 15 1 6.6667 11.00000 0.73333 2.3256 0.0156 0.6098 1.0469 40.8537
1 sh9 14 1 7.1429 1.00000 0.07143 2.3256 0.0312 1.2195 1.3125 51.2195
1 SUM/AVG 100 43 43.0000 80.00000 0.80000 25.0000 2.5469 99.3902 4.8594 189.6341
2 ch0 1 1 100.0000 26.00000 26.00000 2.2222 0.0000 0.0000 0.0000 0.0000
2 li2 71 43 60.5634 48.00000 0.67606 95.5556 2.8594 97.8610 2.8594 97.8610
2 sh5 15 1 6.6667 7.00000 0.46667 2.2222 0.0000 0.0000 1.1875 40.6417
2 sh9 13 0 0.0000 0.00000 0.00000 0.0000 0.0312 1.0695 1.4844 50.8021
2 SUM/AVG 100 45 45.0000 81.00000 0.81000 25.0000 2.8906 98.9305 5.5312 189.3048
3 ch0 1 1 100.0000 21.00000 21.00000 2.0000 0.0000 0.0000 0.0000 0.0000
3 li2 73 47 64.3836 53.00000 0.72603 94.0000 2.3906 99.3506 2.3906 99.3506
3 sh5 14 2 14.2857 13.00000 0.92857 4.0000 0.0156 0.6494 1.2344 51.2987
3 sh9 12 0 0.0000 0.00000 0.00000 0.0000 0.0000 0.0000 1.0625 44.1558
3 SUM/AVG 100 50 50.0000 87.00000 0.87000 25.0000 2.4062 100.0000 4.6875 194.8052
4 ch0 1 1 100.0000 24.00000 24.00000 2.0833 0.0156 0.5952 0.0156 0.5952
4 li2 72 45 62.5000 49.00000 0.68056 93.7500 2.5938 98.8095 2.5938 98.8095
4 sh5 14 1 7.1429 9.00000 0.64286 2.0833 0.0000 0.0000 1.2031 45.8333
4 sh9 13 1 7.6923 1.00000 0.07692 2.0833 0.0156 0.5952 1.2812 48.8095
4 SUM/AVG 100 48 48.0000 83.00000 0.83000 25.0000 2.6250 100.0000 5.0938 194.0476
5 ch0 1 1 100.0000 24.00000 24.00000 2.5000 0.0156 0.5682 0.0156 0.5682
5 li2 68 37 54.4118 41.00000 0.60294 92.5000 2.7344 99.4318 2.7344 99.4318
5 sh5 16 1 6.2500 7.00000 0.43750 2.5000 0.0000 0.0000 1.3906 50.5682
5 sh9 15 1 6.6667 1.00000 0.06667 2.5000 0.0000 0.0000 1.2188 44.3182
5 SUM/AVG 100 40 40.0000 73.00000 0.73000 25.0000 2.7500 100.0000 5.3594 194.8864
